iso_year,iso_week,censuscode,district,state,lat,lon,cases,deaths,is_outbreak,cases_lag1,cases_lag2,cases_lag3,cases_roll4w,temp_k,preci_mm,LAI,population_2024,pop_density_per_km2_2024,week_sin,week_cos,is_monsoon
2012,35,1,Kupwara,Jammu and Kashmir,34.6110236,74.23847867,130,2.0,0,,,,,291.504,0.3233541594,13.0,6788762,3350.87,-0.885456,-0.464723,1
2019,31,16,Doda,Jammu and Kashmir,33.1449112,75.5473969,435,0.0,0,,,,,289.0266666,1.27725959,24.0,2658043,1271.36,-0.568065,-0.822984,1
2015,36,21,Jammu,Jammu and Kashmir,32.7185614,74.8580917,306,0.0,0,,,,,296.6366666,0.1003939873,26.0,15431,7.63,-0.935016,-0.354605,1
2019,31,21,Jammu,Jammu and Kashmir,32.7185614,74.8580917,435,0.0,1,306.0,,,306.0,296.09000000000003,1.982460361,18.0,15431,7.63,-0.568065,-0.822984,1
2019,36,22,Samba,Jammu and Kashmir,32.57591175,75.12034456,15,0.0,0,,,,,303.06,0.1989624925,23.0,2347098,2373.64,-0.935016,-0.354605,1
2017,43,30,Bilaspur,Himachal Pradesh,31.3380959,76.7611631,45,0.0,0,,,,,298.25333340000003,0.002334592571,,6319516,5391.8,-0.885456,0.464723,0
2018,25,30,Bilaspur,Himachal Pradesh,31.3380959,76.7611631,364,0.0,0,45.0,,,45.0,294.5333334,0.3000817268,23.0,6319516,5391.8,0.120537,-0.992709,1
2018,27,30,Bilaspur,Himachal Pradesh,31.3380959,76.7611631,339,0.0,0,364.0,45.0,,204.5,295.38,0.7324642694,28.0,6319516,5391.8,-0.120537,-0.992709,1
2018,31,30,Bilaspur,Himachal Pradesh,31.3380959,76.7611631,416,0.0,0,339.0,364.0,45.0,249.33,297.175,0.4080354645,30.0,6319516,5391.8,-0.568065,-0.822984,1
2018,32,30,Bilaspur,Himachal Pradesh,31.3380959,76.7611631,680,0.0,1,416.0,339.0,364.0,291.0,292.885,1.294812451,15.0,6319516,5391.8,-0.663123,-0.748511,1
