censuscode,iso_year,iso_week,ner_symptoms,ner_diseases,ner_pathogens,ner_travel,ner_total_notes
1,2009,33,1,2,0,0,1
1,2009,44,1,1,0,0,1
1,2009,45,1,1,0,1,1
1,2011,25,2,1,0,0,1
1,2012,31,4,3,0,1,2
1,2012,32,5,4,0,1,3
1,2012,33,3,2,0,0,2
1,2012,35,7,5,0,3,5
1,2013,42,2,1,0,1,1
1,2014,37,7,6,0,3,5
1,2015,21,2,2,0,0,1
1,2016,16,2,2,0,1,1
1,2020,28,5,6,0,2,5
1,2020,34,2,1,0,1,1
1,2022,2,2,1,0,1,1
1,2022,16,2,1,0,1,1
1,2022,41,2,1,0,0,1
16,2013,24,6,3,0,1,3
16,2018,2,1,1,0,0,1
16,2019,8,2,1,0,1,1
16,2019,26,6,5,0,3,4
16,2019,28,1,1,0,0,1
16,2022,21,8,2,2,3,4
16,2022,38,7,4,1,3,4
21,2011,12,2,1,0,0,1
21,2011,38,1,1,0,1,1
21,2012,22,2,2,0,1,1
21,2015,27,1,1,0,1,1
21,2015,28,1,1,0,0,1
21,2015,30,4,4,0,1,3
21,2015,32,5,5,0,1,3
21,2015,34,4,3,0,2,2
21,2015,35,5,4,0,3,4
21,2015,36,12,5,1,1,5
21,2016,33,3,1,0,1,2
21,2016,42,2,2,0,1,1
21,2017,18,3,1,0,0,1
21,2019,29,7,5,0,2,4
21,2019,31,10,5,1,2,5
21,2020,22,3,0,1,2,2
21,2020,27,3,1,0,0,1
21,2020,28,8,3,2,1,3
21,2020,35,6,1,0,2,3
21,2020,38,3,2,0,1,2
21,2022,3,5,4,0,2,3
21,2022,11,2,1,0,0,1
22,2009,11,1,1,0,1,1
22,2010,1,1,2,0,1,1
22,2010,43,1,1,0,1,1
22,2011,14,1,1,0,0,1
22,2012,37,3,3,0,2,2
22,2012,49,1,1,0,1,1
22,2017,5,7,2,0,1,3
22,2017,30,3,2,1,1,2
22,2017,34,3,2,0,2,2
22,2017,40,4,2,0,1,2
22,2019,33,2,1,0,0,1
22,2019,34,2,1,0,1,1
22,2019,35,7,4,0,2,4
22,2019,36,4,2,0,1,2
22,2020,13,2,1,0,0,1
22,2020,31,7,4,0,3,4
22,2020,42,4,4,0,1,3
22,2021,8,2,1,0,0,1
22,2021,25,5,2,0,1,2
22,2021,30,4,2,1,1,2
22,2021,32,5,3,2,3,4
22,2021,39,2,1,0,1,2
22,2022,21,4,2,0,1,2
22,2022,36,9,4,2,1,5
22,2022,37,4,3,1,1,3
30,2009,32,6,6,0,4,4
30,2009,33,4,2,0,0,2
30,2010,42,1,1,0,0,1
30,2013,48,1,2,0,1,1
30,2014,9,1,1,0,1,1
30,2014,29,1,2,0,1,1
30,2015,52,2,2,0,1,1
30,2016,1,2,2,0,0,1
30,2016,12,3,4,0,2,3
30,2016,20,11,5,1,3,5
30,2016,21,6,3,1,2,3
30,2016,24,6,3,1,4,5
30,2016,33,11,3,0,3,4
30,2017,7,9,6,0,3,5
30,2017,39,4,5,0,3,4
30,2017,40,2,3,0,0,2
30,2017,43,6,1,0,2,3
30,2018,18,2,2,1,1,2
30,2018,22,7,3,1,1,3
30,2018,23,4,2,0,2,2
30,2018,25,5,4,0,3,3
30,2018,26,8,5,0,2,5
30,2018,27,8,2,0,0,3
30,2018,28,5,2,1,3,3
30,2018,29,6,4,0,2,3
30,2018,30,6,2,1,2,4
30,2018,31,8,3,1,5,5
30,2018,32,2,1,1,0,1
30,2018,33,10,4,0,2,4
30,2018,36,6,3,0,3,3
30,2018,40,3,2,0,2,2
30,2021,25,1,1,0,1,1
30,2021,34,6,1,0,1,3
30,2022,30,6,4,1,2,3
31,2009,16,1,1,0,1,1
31,2009,20,1,2,0,1,1
31,2009,24,2,2,0,1,1
31,2009,27,6,5,0,5,5
31,2010,37,2,1,0,1,1
31,2011,21,2,1,0,0,1
31,2013,3,1,1,0,1,1
31,2013,6,2,2,0,1,1
31,2013,39,2,1,0,1,1
31,2013,40,4,4,0,1,3
31,2013,41,2,2,0,2,2
31,2014,11,1,1,0,0,1
31,2014,17,3,1,0,0,1
31,2015,33,6,2,0,2,2
31,2015,34,1,1,0,0,1
31,2015,35,8,5,0,3,5
31,2015,37,11,3,1,3,5
31,2016,21,3,1,0,1,1
31,2016,25,10,4,0,4,5
31,2016,28,2,2,1,1,1
31,2017,3,2,1,0,1,1
31,2017,30,3,2,0,0,2
31,2017,32,3,3,0,2,3
31,2017,33,5,4,1,3,4
31,2017,34,4,1,1,2,2
31,2018,25,6,4,2,1,4
31,2018,26,9,5,0,1,5
31,2018,27,2,1,0,1,1
31,2018,28,5,6,0,4,5
31,2018,29,6,0,0,0,2
31,2018,42,1,1,0,0,1
31,2019,23,2,2,1,0,2
31,2020,12,2,1,0,0,1
31,2020,25,2,1,0,0,1
31,2020,33,3,3,0,1,2
31,2021,38,1,2,1,1,3
31,2022,11,7,4,0,3,3
31,2022,19,2,1,1,0,1
31,2022,21,5,3,2,4,4
31,2022,22,8,8,0,5,5
31,2022,23,11,4,0,2,4
31,2022,39,10,4,2,4,5
44,2009,28,3,2,1,2,2
44,2010,17,4,2,0,3,4
44,2010,26,6,2,1,4,4
44,2010,49,1,1,0,1,1
44,2011,19,3,1,0,2,2
44,2011,21,7,1,0,1,3
44,2013,35,2,2,0,1,2
44,2014,2,2,1,0,0,1
44,2014,22,1,1,0,0,1
44,2014,30,1,1,0,1,1
44,2015,6,12,3,0,1,5
44,2015,11,8,3,0,4,5
44,2015,13,6,4,0,2,4
44,2015,26,2,1,0,0,1
44,2015,40,5,3,0,1,3
44,2016,8,2,1,0,1,1
44,2016,15,6,6,1,4,5
44,2016,19,10,4,0,2,5
44,2017,12,1,1,0,0,1
44,2017,20,8,2,0,4,4
44,2019,35,8,2,0,2,3
44,2020,16,7,4,2,2,3
44,2020,17,5,2,1,1,3
44,2020,18,10,1,0,3,4
44,2020,43,1,1,0,1,1
44,2021,48,3,4,0,2,2
44,2022,25,4,2,1,1,2
55,2009,7,2,1,0,1,1
55,2009,43,2,1,0,1,1
55,2010,2,2,2,0,0,1
55,2010,27,4,1,1,2,2
55,2010,31,7,4,0,1,4
55,2010,32,8,2,1,2,4
55,2010,33,2,1,0,1,1
55,2010,34,3,3,0,1,2
55,2010,35,6,2,1,1,3
55,2010,36,1,2,0,2,2
55,2010,38,2,2,0,1,1
55,2010,39,2,2,0,1,1
55,2011,22,2,2,0,1,1
55,2011,30,6,2,0,2,3
55,2011,47,2,1,0,0,1
55,2012,23,1,1,0,1,1
55,2012,33,3,2,0,0,2
55,2012,35,4,3,0,0,2
55,2012,36,9,5,0,3,5
55,2013,41,2,1,0,0,1
55,2015,33,1,1,0,1,1
55,2015,34,2,3,0,1,2
55,2015,36,12,5,0,4,5
55,2016,11,4,0,0,0,1
55,2016,30,7,2,0,2,5
55,2016,32,5,3,1,3,4
55,2016,33,6,2,0,1,3
55,2016,34,6,4,0,4,5
55,2016,35,9,4,1,4,4
55,2017,21,2,1,0,0,1
55,2017,28,1,1,0,0,1
55,2017,29,4,1,0,1,2
55,2017,30,8,4,0,5,5
55,2017,31,5,2,0,2,3
55,2017,32,4,3,0,2,2
55,2018,31,6,0,0,2,3
55,2018,32,6,2,0,3,3
55,2018,34,6,5,1,3,4
55,2018,35,6,3,0,3,4
55,2019,3,10,3,1,2,5
55,2019,24,12,0,0,3,5
55,2019,41,5,5,0,2,4
55,2019,48,4,0,0,1,1
55,2020,2,2,1,0,1,1
55,2020,33,3,3,1,2,2
55,2020,44,1,1,0,1,1
55,2020,46,2,1,0,1,1
55,2020,50,10,5,1,4,5
55,2021,25,6,2,2,2,3
55,2022,6,1,1,0,0,1
55,2022,15,2,1,0,1,1
55,2022,26,5,1,1,1,2
57,2009,24,1,1,0,1,1
57,2009,42,5,4,0,1,3
57,2011,38,4,2,0,2,2
57,2012,41,1,1,0,1,1
57,2013,35,3,2,0,2,2
57,2015,6,2,1,0,0,1
57,2015,29,1,1,0,1,1
57,2016,2,2,1,0,0,1
57,2016,11,5,4,2,1,4
57,2016,19,1,1,0,0,1
57,2016,38,11,5,1,4,5
57,2016,46,1,2,0,1,1
57,2017,14,3,2,0,1,1
57,2017,27,3,2,1,1,1
57,2017,31,11,1,1,3,4
57,2018,6,2,2,0,1,1
57,2018,8,10,7,0,2,5
57,2018,30,0,1,0,1,1
57,2019,17,4,3,2,3,3
57,2019,20,3,2,0,1,1
57,2019,22,10,2,2,4,5
57,2019,38,6,3,0,3,3
57,2019,40,8,2,1,1,4
57,2019,41,2,2,0,2,2
57,2019,42,3,2,0,1,2
57,2019,43,1,1,0,0,1
57,2020,2,2,1,0,0,1
57,2020,25,3,2,0,2,2
57,2020,32,6,4,1,2,5
57,2022,44,3,1,0,0,1
58,2011,29,9,8,0,5,5
58,2012,31,2,1,0,1,1
58,2012,50,2,1,0,1,1
58,2013,30,10,5,0,3,5
58,2013,42,3,2,0,2,2
58,2015,23,9,5,2,5,5
58,2016,16,7,6,1,2,5
58,2016,23,2,3,1,2,2
58,2016,31,5,1,0,1,3
58,2016,32,10,9,0,3,5
58,2016,35,8,3,0,3,4
58,2016,51,1,1,0,1,1
58,2018,8,2,1,0,0,1
58,2018,12,8,3,0,3,4
58,2018,22,7,2,0,2,3
58,2018,35,10,4,2,3,5
58,2019,29,3,1,0,2,2
58,2019,30,4,3,0,0,3
58,2019,32,2,3,0,1,2
58,2019,33,3,1,1,1,2
58,2019,46,1,1,0,1,1
58,2020,27,6,1,2,4,5
58,2021,7,1,1,0,0,1
58,2021,17,10,3,2,2,5
58,2021,36,13,6,1,2,5
58,2021,41,6,3,2,3,4
58,2021,42,11,3,1,5,5
58,2021,45,2,1,0,0,1
58,2022,11,5,1,0,2,2
58,2022,13,2,1,0,0,1
58,2022,16,10,2,0,2,4
58,2022,20,2,0,0,1,1
59,2009,7,2,2,0,1,1
59,2009,33,2,3,0,2,2
59,2009,42,1,1,0,0,1
59,2012,5,1,2,0,1,1
59,2013,50,2,1,0,0,1
59,2014,15,2,1,0,1,1
59,2015,5,2,1,0,1,1
59,2015,8,11,7,1,3,5
59,2015,13,8,1,1,1,3
59,2016,18,2,1,0,1,1
59,2016,27,8,4,0,3,4
59,2016,35,3,2,0,1,2
59,2016,36,7,5,0,0,3
59,2017,30,7,1,0,0,3
59,2018,21,4,2,0,1,3
59,2018,26,4,4,0,2,4
59,2018,32,2,2,0,1,2
59,2018,33,4,2,2,1,2
59,2018,34,2,1,0,0,1
59,2018,35,5,2,1,0,2
59,2019,39,11,2,0,4,5
59,2019,40,10,3,1,3,4
59,2019,41,2,1,0,2,2
59,2019,42,6,4,3,4,4
59,2020,34,3,1,0,1,2
59,2020,44,1,2,0,0,1
59,2021,7,1,1,0,0,1
59,2021,11,2,2,0,0,1
59,2021,30,10,3,0,3,5
59,2022,36,2,2,0,1,1
59,2022,39,2,2,0,2,2
60,2009,34,6,4,0,3,4
60,2010,16,1,1,0,1,1
60,2010,33,2,1,0,1,1
60,2010,34,2,1,0,0,1
60,2010,35,6,3,0,1,3
60,2010,36,2,2,0,1,1
60,2010,37,9,6,1,3,5
60,2011,13,1,1,0,0,1
60,2011,40,4,1,2,1,3
60,2011,51,1,1,0,1,1
60,2012,19,1,1,0,0,1
60,2012,40,7,4,0,1,4
60,2013,10,2,1,0,1,1
60,2015,36,6,3,3,2,3
60,2016,19,4,3,1,2,3
60,2016,24,4,2,0,1,2
60,2016,25,7,3,0,2,3
60,2016,26,6,2,0,3,3
60,2016,27,8,3,0,4,4
60,2016,28,9,5,0,5,5
60,2016,29,6,2,0,1,3
60,2016,30,10,4,1,4,4
60,2018,20,2,1,0,1,1
60,2019,44,3,1,0,1,1
60,2021,13,2,1,0,1,1
60,2022,23,2,2,0,1,1
60,2022,33,3,2,0,2,2
60,2022,46,2,1,0,1,1
66,2010,15,2,1,0,1,1
66,2010,30,1,1,0,1,1
66,2010,34,1,1,0,1,1
66,2011,10,2,1,0,1,1
66,2011,15,9,3,1,1,4
66,2012,43,2,2,0,1,1
66,2014,12,1,1,0,1,1
66,2014,18,2,2,0,1,1
66,2014,24,1,1,0,0,1
66,2015,13,2,1,1,0,1
66,2015,44,3,2,0,2,2
66,2016,19,4,1,1,2,2
66,2016,48,2,2,0,1,1
66,2017,23,2,1,0,1,2
66,2018,51,1,1,0,0,1
66,2019,20,4,2,0,2,2
66,2019,27,8,2,0,2,3
66,2019,28,10,4,0,2,4
66,2019,29,8,3,1,2,3
66,2019,30,7,4,0,4,4
66,2019,31,7,2,0,0,3
66,2019,32,8,4,1,2,4
66,2019,44,12,3,1,3,5
66,2020,22,2,1,0,1,1
66,2021,40,7,5,0,2,4
67,2009,33,7,6,0,2,5
67,2010,39,5,5,0,2,3
67,2011,2,2,1,0,0,1
67,2011,31,7,5,2,3,4
67,2011,42,7,6,0,0,5
67,2012,30,2,1,0,0,1
67,2012,51,1,1,0,0,1
67,2014,27,3,2,0,1,2
67,2017,7,3,3,0,1,3
67,2017,12,8,4,0,2,4
67,2017,38,4,3,1,1,2
67,2017,39,10,3,1,4,5
67,2017,40,10,3,0,2,5
67,2017,41,3,3,0,2,2
67,2017,50,2,1,0,1,1
67,2018,52,1,1,0,1,1
67,2019,12,3,1,1,2,2
67,2020,30,10,6,3,4,5
67,2020,42,5,5,0,3,4
67,2021,18,4,1,0,0,2
67,2021,22,8,6,1,2,5
67,2021,24,1,2,0,0,1
67,2021,32,4,1,1,0,2
67,2021,35,9,2,1,3,4
67,2021,44,2,1,0,0,1
67,2022,19,5,0,0,0,2
67,2022,21,4,2,0,1,2
68,2009,25,3,1,0,0,1
68,2009,34,1,1,0,1,1
68,2011,32,10,4,0,1,4
68,2011,33,10,4,1,4,5
68,2011,34,8,5,1,4,5
68,2011,35,2,0,1,0,1
68,2011,36,1,1,0,1,1
68,2012,31,6,4,0,2,3
68,2012,37,3,1,0,1,1
68,2012,38,2,1,0,0,1
68,2012,40,4,2,0,1,2
68,2012,41,5,2,3,1,3
68,2012,46,2,1,0,1,1
68,2013,10,2,1,0,0,1
68,2013,33,1,1,0,0,1
68,2013,34,10,8,0,3,5
68,2013,36,6,4,0,3,4
68,2013,37,7,4,0,3,4
68,2015,43,10,4,1,4,5
68,2017,28,9,3,3,4,5
68,2018,29,6,2,1,2,3
68,2018,45,2,2,0,0,1
68,2019,13,2,1,0,1,1
68,2020,43,2,1,0,0,1
68,2021,37,4,1,0,1,1
68,2021,38,9,2,1,3,4
68,2021,39,6,4,1,2,3
68,2021,40,1,1,0,1,1
68,2021,41,6,4,0,3,4
68,2022,34,2,0,0,0,1
68,2022,35,3,1,0,1,1
68,2022,47,1,2,0,0,1
70,2009,27,4,1,1,3,3
70,2011,39,2,1,0,1,1
70,2011,41,9,7,0,2,5
70,2012,28,3,2,0,1,2
70,2014,3,2,1,0,1,1
70,2014,23,1,2,0,1,1
70,2015,33,10,2,0,2,3
70,2015,36,9,3,0,3,5
70,2015,48,2,1,0,0,1
70,2016,15,8,3,1,1,4
70,2016,30,4,5,0,2,4
