censuscode,district,state,centroid_lat,centroid_lon,area_km2
0.0,Data Not Available,Jammu & Kashmir,35.530808,74.903832,86440.24
1.0,Kupwara,Jammu & Kashmir,34.531932,74.266054,2025.97
2.0,Badgam,Jammu & Kashmir,33.890006,74.662969,1294.63
3.0,Leh (ladakh),Jammu & Kashmir,34.338836,78.43592,80332.96
4.0,Kargil,Jammu & Kashmir,33.966601,76.484452,14943.36
5.0,Punch,Jammu & Kashmir,33.701782,74.199162,2419.18
6.0,Rajouri,Jammu & Kashmir,33.310174,74.398775,1945.78
7.0,Kathua,Jammu & Kashmir,32.566266,75.593799,2370.08
8.0,Baramula,Jammu & Kashmir,34.16274,74.463392,1787.9
9.0,Bandipore,Jammu & Kashmir,34.504036,74.828318,2314.44
10.0,Srinagar,Jammu & Kashmir,34.175779,74.914761,1073.99
11.0,Ganderbal,Jammu & Kashmir,34.294666,75.199964,1076.5
12.0,Pulwama,Jammu & Kashmir,33.932953,75.037277,617.29
13.0,Shupiyan,Jammu & Kashmir,33.730668,74.818688,548.56
14.0,Anantnag,Jammu & Kashmir,33.815203,75.357499,3163.33
15.0,Kulgam,Jammu & Kashmir,33.588189,74.860575,1338.65
16.0,Doda,Jammu & Kashmir,33.100814,75.649701,2090.71
17.0,Ramban,Jammu & Kashmir,33.323005,75.186098,1119.26
18.0,Kishtwar,Jammu & Kashmir,33.529576,76.014617,8653.4
19.0,Udhampur,Jammu & Kashmir,32.894046,75.327634,2414.12
20.0,Reasi,Jammu & Kashmir,33.20741,74.822304,2300.88
21.0,Jammu,Jammu & Kashmir,32.762518,74.788371,2022.94
22.0,Samba,Jammu & Kashmir,32.575231,75.109293,988.82
23.0,Chamba,Himachal Pradesh,32.677454,76.35425,6499.58
24.0,Kangra,Himachal Pradesh,32.10875,76.317689,5741.03
25.0,Lahul & Spiti,Himachal Pradesh,32.480506,77.616134,13858.21
26.0,Kullu,Himachal Pradesh,31.904467,77.400218,5522.77
27.0,Mandi,Himachal Pradesh,31.638285,76.992944,3965.96
28.0,Hamirpur,Himachal Pradesh,31.668041,76.525766,1127.61
29.0,Una,Himachal Pradesh,31.580659,76.21008,1547.17
30.0,Bilaspur,Himachal Pradesh,31.372313,76.671902,1172.06
31.0,Solan,Himachal Pradesh,31.042924,76.909542,1964.96
32.0,Sirmaur,Himachal Pradesh,30.667558,77.430961,2818.54
33.0,Shimla,Himachal Pradesh,31.197043,77.632389,5148.78
34.0,Kinnaur,Himachal Pradesh,31.596794,78.412625,6469.61
35.0,Gurdaspur,Punjab,32.024197,75.386443,3641.55
36.0,Kapurthala,Punjab,31.354059,75.403072,1671.63
37.0,Jalandhar,Punjab,31.212615,75.566577,2620.94
38.0,Hoshiarpur,Punjab,31.62601,75.858765,3383.84
39.0,Shahid Bhagat Singh Nagar,Punjab,31.109126,76.155963,1306.78
40.0,Fatehgarh Sahib,Punjab,30.632221,76.365316,1147.59
41.0,Ludhiana,Punjab,30.808741,75.838153,3603.61
42.0,Moga,Punjab,30.770013,75.168045,2362.87
43.0,Firozpur,Punjab,30.560487,74.400903,5251.93
44.0,Muktsar,Punjab,30.29464,74.541021,2627.33
45.0,Faridkot,Punjab,30.610863,74.779169,1462.44
46.0,Bathinda,Punjab,30.182766,75.040659,3394.28
47.0,Mansa,Punjab,29.908375,75.438946,2225.13
48.0,Patiala,Punjab,30.281455,76.353968,3343.18
49.0,Amritsar,Punjab,31.704612,74.900668,2679.77
