iso_year,iso_week,censuscode,district,state,lat,lon,cases,deaths,is_outbreak,cases_lag1,cases_lag2,cases_lag3,cases_roll4w,temp_k,preci_mm,LAI,population_2024,pop_density_per_km2_2024,week_sin,week_cos,is_monsoon,growth_rate,cases_per_100k
2012,35,1,Kupwara,Jammu and Kashmir,34.6110236,74.23847867,130.0,2.0,0,,,,,291.504,0.3233541594,13.0,6788762,3350.87,-0.885456,-0.464723,1,0.0,1.9149
2019,31,16,Doda,Jammu and Kashmir,33.1449112,75.5473969,435.0,0.0,0,,,,,289.0266666,1.27725959,24.0,2658043,1271.36,-0.568065,-0.822984,1,0.0,16.3654
2015,36,21,Jammu,Jammu and Kashmir,32.7185614,74.8580917,306.0,0.0,0,,,,,296.6366666,0.1003939873,26.0,15431,7.63,-0.935016,-0.354605,1,0.0,1983.0212
2019,31,21,Jammu,Jammu and Kashmir,32.7185614,74.8580917,435.0,0.0,1,306.0,,,306.0,296.09000000000003,1.982460361,18.0,15431,7.63,-0.568065,-0.822984,1,0.4216,2819.0007
2019,36,22,Samba,Jammu and Kashmir,32.57591175,75.12034456,15.0,0.0,0,,,,,303.06,0.1989624925,23.0,2347098,2373.64,-0.935016,-0.354605,1,0.0,0.6391
2017,43,30,Bilaspur,Himachal Pradesh,31.3380959,76.7611631,45.0,0.0,0,,,,,298.25333340000003,0.002334592571,23.0,6319516,5391.8,-0.885456,0.464723,0,0.0,0.7121
2018,25,30,Bilaspur,Himachal Pradesh,31.3380959,76.7611631,364.0,0.0,0,45.0,,,45.0,294.5333334,0.3000817268,23.0,6319516,5391.8,0.120537,-0.992709,1,7.0889,5.7599
2018,27,30,Bilaspur,Himachal Pradesh,31.3380959,76.7611631,339.0,0.0,0,364.0,45.0,,204.5,295.38,0.7324642694,28.0,6319516,5391.8,-0.120537,-0.992709,1,-0.0687,5.3643
2018,31,30,Bilaspur,Himachal Pradesh,31.3380959,76.7611631,416.0,0.0,0,339.0,364.0,45.0,249.33,297.175,0.4080354645,30.0,6319516,5391.8,-0.568065,-0.822984,1,0.2271,6.5828
2018,32,30,Bilaspur,Himachal Pradesh,31.3380959,76.7611631,680.0,0.0,1,416.0,339.0,364.0,291.0,292.885,1.294812451,15.0,6319516,5391.8,-0.663123,-0.748511,1,0.6346,10.7603
2018,33,30,Bilaspur,Himachal Pradesh,31.3380959,76.7611631,339.0,0.0,0,680.0,416.0,339.0,449.75,296.045,1.259084377,24.0,6319516,5391.8,-0.748511,-0.663123,1,-0.5015,5.3643
2013,43,31,Solan,Himachal Pradesh,30.92589585,77.08200509,30.0,0.0,0,,,,,296.3666666,0.004539964919,36.0,1044512,531.57,-0.885456,0.464723,0,0.0,2.8722
2015,37,31,Solan,Himachal Pradesh,30.92589585,77.08200509,151.0,2.0,1,30.0,,,30.0,297.87,0.03760034753,36.0,1044512,531.57,-0.970942,-0.239316,1,4.0333,14.4565
2017,34,31,Solan,Himachal Pradesh,30.92589585,77.08200509,10.0,0.0,0,151.0,30.0,,90.5,295.90000000000003,0.5833126291,34.0,1044512,531.57,-0.822984,-0.568065,1,-0.9338,0.9574
2018,29,31,Solan,Himachal Pradesh,30.92589585,77.08200509,47.0,0.0,0,10.0,151.0,30.0,63.67,292.1533334,0.7953601911,16.0,1044512,531.57,-0.354605,-0.935016,1,3.7,4.4997
2022,23,31,Solan,Himachal Pradesh,30.92589585,77.08200509,34.0,0.0,0,47.0,10.0,151.0,59.5,305.7866666,7.63e-05,16.0,1044512,531.57,0.354605,-0.935016,1,-0.2766,3.2551
2011,21,44,Muktsar,Punjab,30.4692,74.5182,26.0,0.0,0,,,,,315.1,0.1699077818,2.0,206833,78.72,0.568065,-0.822984,0,0.0,12.5705
2009,44,55,Chandigarh,Chandigarh,30.72984395,76.78414567,8.0,0.0,0,,,,,302.0466666,4.88e-05,9.0,4015880,33832.18,-0.822984,0.568065,0,0.0,0.1992
2010,35,55,Chandigarh,Chandigarh,30.72984395,76.78414567,103.0,0.0,0,8.0,,,8.0,301.505,0.6042564227,18.0,4015880,33832.18,-0.885456,-0.464723,1,10.0,2.5648
2010,40,55,Chandigarh,Chandigarh,30.72984395,76.78414567,25.0,0.0,0,103.0,8.0,,55.5,302.6666666,0.005205862058,18.0,4015880,33832.18,-0.992709,0.120537,0,-0.7573,0.6225
2012,36,55,Chandigarh,Chandigarh,30.72984395,76.78414567,2466.0,0.0,1,25.0,103.0,8.0,45.33,300.2266666,0.3768368195,20.0,4015880,33832.18,-0.935016,-0.354605,1,10.0,61.4062
2015,35,55,Chandigarh,Chandigarh,30.72984395,76.78414567,210.0,0.0,0,2466.0,25.0,103.0,650.5,298.82,0.6191849911,22.0,4015880,33832.18,-0.885456,-0.464723,1,-0.9148,5.2292
2015,36,55,Chandigarh,Chandigarh,30.72984395,76.78414567,1824.0,0.0,0,210.0,2466.0,25.0,701.0,301.68333340000004,0.0608389463,25.0,4015880,33832.18,-0.935016,-0.354605,1,7.6857,45.4197
2016,35,55,Chandigarh,Chandigarh,30.72984395,76.78414567,17.0,0.0,0,1824.0,210.0,2466.0,1131.25,301.485,0.2352487723,26.0,4015880,33832.18,-0.885456,-0.464723,1,-0.9907,0.4233
2017,32,55,Chandigarh,Chandigarh,30.72984395,76.78414567,1015.0,0.0,0,17.0,1824.0,210.0,1129.25,301.22249999999997,1.805582248,14.0,4015880,33832.18,-0.663123,-0.748511,1,10.0,25.2747
2018,35,55,Chandigarh,Chandigarh,30.72984395,76.78414567,18.0,0.0,0,1015.0,17.0,1824.0,766.5,300.96,0.3238669042,14.0,4015880,33832.18,-0.885456,-0.464723,1,-0.9823,0.4482
2020,46,55,Chandigarh,Chandigarh,30.72984395,76.78414567,11.0,0.0,0,18.0,1015.0,17.0,718.5,299.09000000000003,0.0003842740343,10.5,4015880,33832.18,-0.663123,0.748511,0,-0.3889,0.2739
2020,50,55,Chandigarh,Chandigarh,30.72984395,76.78414567,13.0,0.0,0,11.0,18.0,1015.0,265.25,294.7233334,7.18e-05,7.0,4015880,33832.18,-0.239316,0.970942,0,0.1818,0.3237
2019,44,57,Chamoli,Uttar Pradesh,29.5008816,77.34838259,5.0,0.0,0,,,,,298.23,0.002175384014,14.0,802518,102.43,-0.822984,0.568065,0,0.0,0.623
2019,34,58,Rudraprayag,Uttarakhand,30.3009965,79.06287965,20.0,0.0,0,,,,,280.18,2.366893812,12.625901060070673,1762527,959.14,-0.822984,-0.568065,1,0.0,1.1347
2018,36,59,Tehri Garhwal,Uttarakhand,29.84591115,78.38835789,21.0,1.0,1,,,,,287.5066666,1.449797307,34.0,1639425,423.36,-0.935016,-0.354605,1,0.0,1.2809
2019,42,59,Tehri Garhwal,Uttarakhand,29.84591115,78.38835789,8.0,0.0,0,21.0,,,21.0,295.2,0.1611135297,34.0,1639425,423.36,-0.935016,0.354605,0,-0.619,0.488
2010,37,60,Dehradun,Uttarakhand,30.3255646,78.0436813,19.0,0.0,0,,,,,283.42400000000004,2.604377781,12.625901060070673,1679609,546.26,-0.970942,-0.239316,1,0.0,1.1312
2016,29,60,Dehradun,Uttarakhand,30.3255646,78.0436813,41.0,0.0,1,19.0,,,19.0,292.36,3.39884712,12.625901060070673,1679609,546.26,-0.354605,-0.935016,1,1.1579,2.441
2010,34,66,Nainital,Uttarakhand,29.29478295,79.41548094,3.0,0.0,0,,,,,287.34000000000003,1.53304402,22.0,2060872,497.85,-0.822984,-0.568065,1,0.0,0.1456
2010,37,66,Nainital,Uttarakhand,29.29478295,79.41548094,643.0,0.0,1,3.0,,,3.0,298.5133334,0.8191441814,22.0,2060872,497.85,-0.970942,-0.239316,1,10.0,31.2004
2019,31,66,Nainital,Uttarakhand,29.29478295,79.41548094,492.0,0.0,0,643.0,3.0,,323.0,303.34000000000003,0.4806696712,22.0,2060872,497.85,-0.568065,-0.822984,1,-0.2348,23.8734
2017,41,67,Udham Singh Nagar,Uttarakhand,29.0480988,79.43131332,9.0,0.0,0,,,,,298.8566666,0.01370921104,35.0,2046846,743.67,-0.970942,0.239316,0,0.0,0.4397
2011,36,68,Hardwar,Uttarakhand,29.91235135,78.00871782,10.0,0.0,0,,,,,300.54400000000004,0.2491719523,30.0,1286212,537.83,-0.935016,-0.354605,1,0.0,0.7775
2012,41,68,Hardwar,Uttarakhand,29.91235135,78.00871782,126.0,1.0,0,10.0,,,10.0,302.14,0.02495645839,30.0,1286212,537.83,-0.970942,0.239316,0,10.0,9.7962
2013,37,68,Hardwar,Uttarakhand,29.91235135,78.00871782,50.0,1.0,0,126.0,10.0,,68.0,298.908,0.4037716843,29.0,1286212,537.83,-0.970942,-0.239316,1,-0.6032,3.8874
2021,41,68,Hardwar,Uttarakhand,29.91235135,78.00871782,172.0,0.0,1,50.0,126.0,10.0,62.0,302.0233334,6.86e-05,29.0,1286212,537.83,-0.970942,0.239316,0,2.44,13.3726
2019,42,70,Ambala,Haryana,30.3843674,76.770421,60.0,2.0,0,,,,,301.8533334,0.00961377013,12.0,1532022,1009.94,-0.935016,0.354605,0,0.0,3.9164
2010,29,86,Gurgaon,Haryana,28.42826235,77.00270015,586.0,12.0,1,,,,,310.42,0.1226261304,7.0,533577,429.92,-0.354605,-0.935016,1,0.0,109.8248
2011,28,86,Gurgaon,Haryana,28.42826235,77.00270015,5.0,2.0,0,586.0,,,586.0,307.66,0.4909773682,7.0,533577,429.92,-0.239316,-0.970942,1,-0.9915,0.9371
2021,35,87,Mewat,Haryana,28.09734515,77.05085582,19.0,0.0,0,,,,,299.94,0.5809280116,12.0,4541738,3086.78,-0.885456,-0.464723,1,0.0,0.4183
2011,41,88,Faridabad,Haryana,28.4031478,77.3105561,119.0,2.0,0,,,,,308.5766666,0.0117964173,6.0,355658,421.92,-0.970942,0.239316,0,0.0,33.4591
2013,28,94,New Delhi,Delhi,28.6138954,77.2090057,3735.8999999999687,10.0,0,,,,,308.8066666,0.5165098757,4.0,1305264,33815.13,-0.239316,-0.970942,1,0.0,286.218
2015,1,94,New Delhi,Delhi,28.6138954,77.2090057,1255.0,4.0,0,3735.8999999999687,,,3735.9,289.75333340000003,0.0003135274763,4.0,1305264,33815.13,0.120537,0.992709,0,-0.6641,96.1491
